,SMILES,FP,FP array
0,CC(C)(C)c1ccc(N(c2ccccc2)c2ccc3cc4c(cc3c2)oc2c4c3ccc(N(c4ccccc4)c4ccc(C(C)(C)C)cc4)c4c5c6ccccc6sc5n2c34)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0430>,[0 0 0 ... 0 0 0]
1,Cc1cc(Oc2ccc(C3C4=C(CN=C4c4cccc5[nH]c(=O)oc45)C(=O)N3CC(C)(F)F)cc2)ccc1OC(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0900>,[0 0 0 ... 0 0 0]
2,c1ccc(-c2cccc(-c3cccc(-n4c5cccc6c5c5c7c(ccc8oc9cccc-6c9c87)ccc54)c3)c2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0a50>,[0 0 0 ... 0 0 0]
3,c1ccc(N(c2ccccc2)c2ccc(-n3c4cccc5c4c4c6c(ccc7oc8cccc-5c8c76)ccc43)cc2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0660>,[0 0 0 ... 0 0 0]
4,C[SiH](C)CN(CCCCCCN([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0f90>,[0 0 0 ... 0 0 0]
5,C=C(C)C(=O)OCCCC(=O)OCC(COC)OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0120>,[0 1 0 ... 0 0 0]
6,C=C(C)C(=O)OCCNC(=O)OC(CCC)CNC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0040>,[0 1 0 ... 0 0 0]
7,C=C(C)C(=O)OCCOCCCC(=O)OCC(COC)OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e00b0>,[0 1 0 ... 0 0 0]
8,C=C(C)C(=O)OCC(C)(COC(=O)C(=C)C)CC(=O)OCC(COC)OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093ecf0>,[0 1 0 ... 0 0 0]
9,CCCC(=O)N1CCc2c(-c3cc(OC)c(CN(C)C)c(OC)c3)cn(C)c(=O)c2C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093ec80>,[0 0 0 ... 0 0 0]
10,CN(C)c1ccc(-c2ccc(-c3nc4ccc(CCCOCCOCCOCCOc5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)cc4o3)cn2)cn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093eb30>,[0 0 0 ... 0 0 0]
11,Clc1ccc(N(c2ccccc2)c2ccc3c4c5ccccc5ccc4n(-c4ccccc4)c3c2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093ed60>,[0 0 0 ... 0 0 0]
12,CC(C)(C)OCc1cc(CC(=O)Cc2cc(C3(C)CCCC3)on2)ccc1Br,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093eeb0>,[0 0 0 ... 0 0 0]
13,c1cc2cc(n1)-c1cc(ccn1)C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750090a970>,[0 0 0 ... 0 0 0]
14,[2H]c1c([2H])c([2H])c2c(c1[2H])c1c([2H])c(-c3c([2H])c([2H])c4c(c3[2H])c3c([2H])c([2H])c(C)c([2H])c3n4-c3ccc(-c4ccccc4)cc3)c([2H])c([2H])c1n2-c1ccc(-c2ccccc2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fef90>,[0 0 0 ... 0 0 0]
15,[2H]c1c([2H])c([2H])c2c(c1[2H])c1c([2H])c(-c3c([2H])c([2H])c4c(c3[2H])c3c([2H])c([2H])c(C)c([2H])c3n4-c3cccc(-c4ccccc4)c3)c([2H])c([2H])c1n2-c1cccc(-c2ccccc2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fee40>,[0 0 0 ... 0 0 0]
16,CS(=O)(=O)CCCc1ccc(C(=O)CC[C@H](c2cccs2)c2c[nH]c3ccccc23)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fed60>,[0 1 0 ... 0 0 0]
17,O=C1C[C@H](CCC(=O)N2CC3(CCN(Cc4ccc(C(F)(F)F)cc4F)CC3)C2)CO1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fedd0>,[0 0 0 ... 0 0 0]
18,CN(C)CCn1cc(-c2cnc3c(c2)C(N2C[C@@H](F)C[C@@H]2c2cc(F)ccc2F)=NC3)cn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008feeb0>,[0 0 0 ... 0 0 0]
