,MolWt,LogP,TPSA,SMILES,FP,FP array
0,834.1009999999999,17.485399999999988,24.030000000000005,CC(C)(C)c1ccc(N(c2ccccc2)c2ccc3cc4c(cc3c2)oc2c4c3ccc(N(c4ccccc4)c4ccc(C(C)(C)C)cc4)c4c5c6ccccc6sc5n2c34)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0430>,[0 0 0 ... 0 0 0]
1,599.5120000000004,6.458420000000004,97.13,Cc1cc(Oc2ccc(C3C4=C(CN=C4c4cccc5[nH]c(=O)oc45)C(=O)N3CC(C)(F)F)cc2)ccc1OC(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0900>,[0 0 0 ... 0 0 0]
2,533.6300000000003,11.150699999999983,18.07,c1ccc(-c2cccc(-c3cccc(-n4c5cccc6c5c5c7c(ccc8oc9cccc-6c9c87)ccc54)c3)c2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0a50>,[0 0 0 ... 0 0 0]
3,548.6450000000003,11.28649999999998,21.310000000000002,c1ccc(N(c2ccccc2)c2ccc(-n3c4cccc5c4c4c6c(ccc7oc8cccc-5c8c76)ccc43)cc2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0660>,[0 0 0 ... 0 0 0]
4,404.9400000000001,5.681400000000006,6.48,C[SiH](C)CN(CCCCCCN([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0f90>,[0 0 0 ... 0 0 0]
5,274.313,1.0904999999999998,71.06000000000002,C=C(C)C(=O)OCCCC(=O)OCC(COC)OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0120>,[0 1 0 ... 0 0 0]
6,272.3449999999999,1.22,76.66,C=C(C)C(=O)OCCNC(=O)OC(CCC)CNC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e0040>,[0 1 0 ... 0 0 0]
7,318.36600000000004,1.1071,80.29,C=C(C)C(=O)OCCOCCCC(=O)OCC(COC)OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005e00b0>,[0 1 0 ... 0 0 0]
8,386.44100000000014,1.8259999999999998,97.36000000000001,C=C(C)C(=O)OCC(C)(COC(=O)C(=C)C)CC(=O)OCC(COC)OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093ecf0>,[0 1 0 ... 0 0 0]
9,427.54500000000024,2.815900000000001,64.01,CCCC(=O)N1CCc2c(-c3cc(OC)c(CN(C)C)c(OC)c3)cn(C)c(=O)c2C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093ec80>,[0 0 0 ... 0 0 0]
10,762.8200000000002,4.480400000000003,175.51999999999998,CN(C)c1ccc(-c2ccc(-c3nc4ccc(CCCOCCOCCOCCOc5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)cc4o3)cn2)cn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093eb30>,[0 0 0 ... 0 0 0]
11,495.02500000000015,10.060099999999991,8.17,Clc1ccc(N(c2ccccc2)c2ccc3c4c5ccccc5ccc4n(-c4ccccc4)c3c2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093ed60>,[0 0 0 ... 0 0 0]
12,448.4010000000002,5.938200000000006,52.33,CC(C)(C)OCc1cc(CC(=O)Cc2cc(C3(C)CCCC3)on2)ccc1Br,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750093eeb0>,[0 0 0 ... 0 0 0]
13,168.19899999999998,2.0477999999999996,25.78,c1cc2cc(n1)-c1cc(ccn1)C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750090a970>,[0 0 0 ... 0 0 0]
14,663.9043231140001,13.190219999999982,9.86,[2H]c1c([2H])c([2H])c2c(c1[2H])c1c([2H])c(-c3c([2H])c([2H])c4c(c3[2H])c3c([2H])c([2H])c(C)c([2H])c3n4-c3ccc(-c4ccccc4)cc3)c([2H])c([2H])c1n2-c1ccc(-c2ccccc2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fef90>,[0 0 0 ... 0 0 0]
15,663.9043231140001,13.190219999999982,9.86,[2H]c1c([2H])c([2H])c2c(c1[2H])c1c([2H])c(-c3c([2H])c([2H])c4c(c3[2H])c3c([2H])c([2H])c(C)c([2H])c3n4-c3cccc(-c4ccccc4)c3)c([2H])c([2H])c1n2-c1cccc(-c2ccccc2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fee40>,[0 0 0 ... 0 0 0]
16,465.6400000000001,6.001600000000005,67.0,CS(=O)(=O)CCCc1ccc(C(=O)CC[C@H](c2cccs2)c2c[nH]c3ccccc23)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fed60>,[0 1 0 ... 0 0 0]
17,442.4530000000002,3.6122000000000023,49.85000000000001,O=C1C[C@H](CCC(=O)N2CC3(CCN(Cc4ccc(C(F)(F)F)cc4F)CC3)C2)CO1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fedd0>,[0 0 0 ... 0 0 0]
18,454.50000000000017,3.830200000000003,49.550000000000004,CN(C)CCn1cc(-c2cnc3c(c2)C(N2C[C@@H](F)C[C@@H]2c2cc(F)ccc2F)=NC3)cn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008feeb0>,[0 0 0 ... 0 0 0]
19,871.1669999999992,5.49650000000001,238.74999999999997,CC[C@@H](CCCCNC(=O)COCCOCCNC(=O)COCCOCCCC(=O)CCC(NC(=O)CCCCCCCCCCCCCCCCC(N)=O)C(=O)O)C(C)=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fe120>,[0 1 0 ... 0 0 0]
20,215.29599999999994,2.5161000000000007,35.25,COc1cccc2c1CC1=C2CC(N)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fe270>,[0 0 0 ... 0 0 0]
21,118.13499999999998,1.3818,17.07,C=C1CC=C2C=C1C2=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fe2e0>,[0 0 0 ... 0 0 0]
22,481.478,5.041300000000005,81.10000000000001,CN(C)c1ccc2c(Oc3ccc(CC(=O)CCc4ccc(C(F)(F)F)nc4)nc3)ncnc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836040>,[0 0 0 ... 0 0 0]
23,782.9439999999998,8.691360000000005,140.79999999999998,CC1=C(C#N)C(=O)N(C)C(=O)/C1=C/c1cc2c(s1)-c1cc3c(cc1C1(CCCCC1)O2)-c1sc(/C=C2/C(=O)N(C)C(=O)C(C#N)=C2C)cc1OC31CCCCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008360b0>,[1 0 1 ... 0 0 0]
24,818.8979999999999,3.376380000000003,162.64999999999998,CN(C(=O)Cc1cc(N2CCN(CCN3CCN(c4ccc(OC[C@](C)(O)C(=O)Nc5ccc(C#N)c(C(F)(F)F)c5)cc4)CC3)CC2)ccn1)C1CCC(=O)CC1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836120>,[0 0 0 ... 0 0 0]
25,421.5420000000002,3.587400000000003,56.81,COc1ccc2c(c1)S/C(=C\C=C\c1cc[n+](CCO)c3ccccc13)N2CCO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836190>,[0 0 0 ... 0 0 0]
26,451.3800000000001,3.952100000000004,47.58,CN1/C(=C\C=C\c2cc[n+](Cc3cccc(B(O)O)c3)c3ccccc23)Sc2ccccc21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836200>,[0 0 0 ... 0 0 0]
27,421.75400000000025,8.719200000000006,20.310000000000002,CCCCCCCCCCCCCCCCCCCC(=O)CCN1CCCC(C)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836270>,[0 0 0 ... 0 0 1]
28,861.4789999999991,15.603099999999964,70.08,CCCCCCCCC(CCCCCC)CC(=O)CCCCCCN(CCCCCOC(=O)CC(CCCCCC)CCCCCCCC)CCN(CCO)C1CCCCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008362e0>,[0 1 1 ... 0 0 0]
29,619.8340000000003,7.674800000000008,72.91,CN(C(=O)OCC1c2ccccc2-c2ccccc21)[C@@H](Cc1ccccc1)C(=O)C[C@@H](Cc1ccccc1)C(=O)O[Si](C)(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836350>,[0 1 0 ... 0 0 0]
30,454.5340000000003,3.118780000000002,86.76,C#CC(=O)N1CCN(c2ccc(-c3cc(OCC4(C)CCC4)cn4ncc(C#N)c34)cn2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008363c0>,[0 0 0 ... 0 0 0]
31,300.17999999999995,0.16390000000000016,88.99,N/C(=N\C=[NH2+])c1[nH]c(C2CCOCC2)cc1Br,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836430>,[0 0 0 ... 0 0 0]
